,,,,,,,,,,,,,,,
,Budget,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Housing,,,,,Household/Personal,,,,,Loan Payment/Savings,,,,
,,,,,,,,,,,,,,,
,,,Monthly,Annually,,,,Monthly,Annually,,,,Monthly,Annually,
,Mortgage Rent,," $ 1,625 ",19500,,Groceries,, $ 250 ,3000,,Credit Card Payment,, $ - ,0,
,Property Taxes,, $ - ,0,,Personal Care,, $ 335 ,4020,,Other Loan Payments,, $ - ,0,
,Home Maintenance,, $ - ,0,,Clothing/Dry Cleaning,, $ - ,0,,IRA investing,, $ 582 ,6984,
,Homeowner's Insurance,, $ - ,0,,Domestic Help,, $ - ,0,,Wedding Savings,, $ - ,0,
,Utilities,,,,,Professional Dues,, $ - ,0,,House Expense Savings,, $ 400 ,4800,
,Electric,, $ 100 ,1200,,Dependent/Child Care,, $ - ,0,,Crypto invest,, $ - ,0,
,Gas,, $ - ,0,,Education/School,, $ - ,0,,Car Payment,, $ 509 ,6102,
,Water,, $ 36 ,432,,Subscriptions,, $ 98 ,1176,,Emergency Fund,, $ 200 ,2400,
,Cable,, $ 50 ,600,,Other,, $ - ,0,,fantasy football / Best ball hobby bankroll,, $ 150 ,1800,
,Telephone,, $ 47 ,568.68,,Other,, $ - ,0,,Other,, $ - ,0,
,Other,, $ - ,0,,Other,, $ - ,0,,Other,, $ - ,0,
,,,,,,,,,,,,,,,
,Transportation,,,,,Personal Insurance,,,,,Discretionary,,,,
,,,,,,,,,,,,,,,
,,,Monthly,Annually,,,,Monthly,Annually,,,,Monthly,Annually,
,Auto Payment (s),, $ - ,0,,Health Insurance,,,0,,Dining Out,, $ 205 ,2460,
,Auto Insurance,, $ 61 ,729.96,,Life Insurance,, $ 246 ,2952,,Recreation/Club Dues,, $ - ,0,
,Gas,, $ 150 ,1800,,Disability Income Insurance,, $ - ,0,,Movies/Sporting Events,, $ - ,0,
,Maintenance/License,, $ 165 ,1980,,Long-Term care Insurance,, $ - ,0,,Hobbies (golf),, $ 370 ,4440,
,Parking/Tolls/Bus/Train,, $ - ,0,,Medical/Dental/Drugs,,,0,,Vacation/Travel,, $ 150 ,1800,
,AAA,, $ 3 ,36,,dog / pet fees,, $ 120 ,1440,,Child Care,, $ - ,0,
,Other,, $ - ,0,,Other,, $ - ,0,,Gifts/Contributions,, $ 60 ,720,
,Other,, $ - ,0,,Other,, $ - ,0,,Coffee/Bakery,, $ 235 ,2820,
,Other,, $ - ,0,,Other,, $ - ,0,,Other,, $ - ,0,
,Other,, $ - ,0,,Other,, $ - ,0,,Other,, $ - ,0,
,Other,, $ - ,0,,Other,, $ - ,0,,Other,, $ - ,0,
,,,,,,,,,,,,,,,
,Column 1 Total,,,26846.64,,Column 2 Total,,,12588,,Column 3 Total,,,34326,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,per paycheck
,"TOTAL 
Monthly Expenses",," $ 6,147 ",,,,,,,,Net Monthly Income,," $ 6,158 ",,3079
,Annual Expenses,," $ 73,761 ",,,,,,,,Less Expenses,," $ 6,147 ",,
,,,,,,,,,,,Total Surplus/Deficit,, $ 11 ,,5.64
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,transfers into savings accounts based on this budget,,,,Key:,,,,,,,,
,,,monthly exp,"$1,621.20",,,Hobbies - Golf (1 lesson per mnth / 3 range sessions per week + $100 for round(s)),,,,,,,,
,,,annual exp,$174.42,,,Hobbies is discretionary,,,,,,,,
,,,car fund,$254.25,,,Monthly expenses consists of:,"Mortgage, Electric, Water, Cable, Telephone, Gas, Life Insurance, Subscriptions, Personal Care, Groceries, Dining Out, Coffee/Bakery",,,,,,,
,,,gift fund,$30.00,,,Annual Expenses consists of:,"Auto Insurance, Maintenance / License, AAA, and Dog / pet fees",,,,,,,
,,,investment fund,$291.00,,,,,,,,,,,
,,,emergency fund,$175.00,,,,,,,,,,,
,,,House fund,$200.00,,,,,,,,,,,
,,,Travel Fund,$75.00,,,,,,,,,,,
,,,Total,"$2,820.86",,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,Retirement Savings/investments,per paycheck,,annual,,,,,,,,,
,,,401k contr,761,,27352,,,,,,,,,
,,,Roth IRA,291,,,,,,,,,,,
,,,Crypto,0,,,,,,,,,,,
,,,,1052,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,Extra HELOC payment per paycheck,100,,,,,,,,,,,
